OBJECTID_1,FID_teocin,OBJECTID,FID_Maices,Id,IdEjemplar,Raza_prima,Complejo_r,Anhio_Cole,Periodo_Co,Estado,Municipio,Localidad,Altitud,longitude,latitude,NOMBRE,FID_region,PROVBIOB,id_pbiob,id_pbiobr
1,0,1,989,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,SAN PEDRO POCHUTLA,14.5 km al N de Pochutla cerca de La Palestina,276,-96.47044444,15.76438889,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
2,1,2,990,0,0,Tripsacum maizar,Tripsacum,0,0,OAXACA,PLUMA HIDALGO,100 m antes de la desviación Copacita y San Mateo Piña,1062,-96.45772222,15.96294444,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
3,2,3,872,0,0,Tripsacum maizar,Tripsacum,0,0,OAXACA,PLUMA HIDALGO,Pluma Hidalgo,1100,-96.45,15.96666667,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
4,3,4,988,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,SAN GABRIEL MIXTEPEC,7.2 km al N de San Gabriel Mixtepec,798,-97.06227778,16.12311111,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
5,4,5,836,0,0,Tripsacum intermedium,Tripsacum,0,0,CHIAPAS,LA TRINITARIA,La Trinitaria,750,-92.01666667,16,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
6,5,6,966,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,LA TRINITARIA,Km 209 carretera 190 Tuxtla-La Trinitaria (La Campana),819,-92.01666667,16,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
7,6,7,879,0,0,Tripsacum dactyloides dactyloides,Tripsacum,0,0,CHIAPAS,LA TRINITARIA,La Trinitaria,920,-92.01575,16.03011111,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
8,7,8,786,0,0,Tripsacum bravum,Tripsacum,0,0,OAXACA,SAN PEDRO JUCHATENGO,San Pedro Juchatengo,1050,-97.06666667,16.31666667,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
9,8,9,787,0,0,Tripsacum bravum,Tripsacum,0,0,OAXACA,SAN PEDRO JUCHATENGO,San Pedro Juchatengo,1000,-97.06666667,16.31666667,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
10,9,10,613,0,0,Tripsacum intermedium,Tripsacum,0,0,CHIAPAS,ND,La Trinitaria-23 Km sur de Lagunas de Montebello,750,-92.03333333,16.06666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
11,10,11,614,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,ND,La Trinitaria-7.7 Km sur de Lagunas de Montebello,1300,-92.03333333,16.06666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
12,11,12,965,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,LA TRINITARIA,Km 195 carretera 190 Tuxtla-La Trinitaria,1415,-92.03333333,16.06666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
13,12,13,492,0,0,Balsas,Zea mays subsp. Mexicana,0,0,OAXACA,SAN JERÓNIMO COATLÁN,San Cristobal Honduras,1263,-97.04722222,16.32222222,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
14,13,14,101,0,0,Balsas,Zea mays subsp. Mexicana,0,0,OAXACA,SAN PEDRO JUCHATENGO,San Cristóbal Honduras,1120,-97.03333333,16.33333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
15,14,15,987,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"Los Sabinos, 45.3 km al S de Sola de Vega y junto a Los Limones",961,-97.08855556,16.36719444,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
16,15,16,986,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"Los Sabinos, 3.5 km al S de Los Sabinos",1006,-97.07583333,16.38213889,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
17,16,17,985,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"San Isidro-Ojoa de Agua, 300 m al N de San Isidro-Ojo de Agua",1284,-97.05230556,16.43527778,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
18,17,18,984,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"San Isidro-Ojo de Agua, 1.7 km al N de San Isidro-Ojo de Agua, 29.6 km al S de Sola de Vega",1481,-97.03288889,16.45011111,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
19,18,19,983,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"La Cumbre, 3.8 km al S de la Cumbre",1976,-96.02011111,16.47741667,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
